platform,name,command_topic,state_topic,payload_on,payload_off
mqtt,light001,cmnd/i3/inside/lights/001/POWER,stat/i3/inside/lights/001/POWER,ON,OFF
mqtt,light002,cmnd/i3/inside/lights/002/POWER,stat/i3/inside/lights/002/POWER,ON,OFF
mqtt,light003,cmnd/i3/inside/lights/003/POWER,stat/i3/inside/lights/003/POWER,ON,OFF
mqtt,light004,cmnd/i3/inside/lights/004/POWER,stat/i3/inside/lights/004/POWER,ON,OFF
mqtt,light005,cmnd/i3/inside/lights/005/POWER,stat/i3/inside/lights/005/POWER,ON,OFF
mqtt,light006,cmnd/i3/inside/lights/006/POWER,stat/i3/inside/lights/006/POWER,ON,OFF
mqtt,light007,cmnd/i3/inside/lights/007/POWER,stat/i3/inside/lights/007/POWER,ON,OFF
mqtt,light008,cmnd/i3/inside/lights/008/POWER,stat/i3/inside/lights/008/POWER,ON,OFF
mqtt,light009,cmnd/i3/inside/lights/009/POWER,stat/i3/inside/lights/009/POWER,ON,OFF
mqtt,light010,cmnd/i3/inside/lights/010/POWER,stat/i3/inside/lights/010/POWER,ON,OFF
mqtt,light011,cmnd/i3/inside/lights/011/POWER,stat/i3/inside/lights/011/POWER,ON,OFF
mqtt,light012,cmnd/i3/inside/lights/012/POWER,stat/i3/inside/lights/012/POWER,ON,OFF
mqtt,light013,cmnd/i3/inside/lights/013/POWER,stat/i3/inside/lights/013/POWER,ON,OFF
mqtt,light014,cmnd/i3/inside/lights/014/POWER,stat/i3/inside/lights/014/POWER,ON,OFF
mqtt,light015,cmnd/i3/inside/lights/015/POWER,stat/i3/inside/lights/015/POWER,ON,OFF
mqtt,light016,cmnd/i3/inside/lights/016/POWER,stat/i3/inside/lights/016/POWER,ON,OFF
mqtt,light017,cmnd/i3/inside/lights/017/POWER,stat/i3/inside/lights/017/POWER,ON,OFF
mqtt,light018,cmnd/i3/inside/lights/018/POWER,stat/i3/inside/lights/018/POWER,ON,OFF
mqtt,light019,cmnd/i3/inside/lights/019/POWER,stat/i3/inside/lights/019/POWER,ON,OFF
mqtt,light020,cmnd/i3/inside/lights/020/POWER,stat/i3/inside/lights/020/POWER,ON,OFF
mqtt,light021,cmnd/i3/inside/lights/021/POWER,stat/i3/inside/lights/021/POWER,ON,OFF
mqtt,light022,cmnd/i3/inside/lights/022/POWER,stat/i3/inside/lights/022/POWER,ON,OFF
mqtt,light023,cmnd/i3/inside/lights/023/POWER,stat/i3/inside/lights/023/POWER,ON,OFF
mqtt,light024,cmnd/i3/inside/lights/024/POWER,stat/i3/inside/lights/024/POWER,ON,OFF
mqtt,light025,cmnd/i3/inside/lights/025/POWER,stat/i3/inside/lights/025/POWER,ON,OFF
mqtt,light026,cmnd/i3/inside/lights/026/POWER,stat/i3/inside/lights/026/POWER,ON,OFF
mqtt,light027,cmnd/i3/inside/lights/027/POWER,stat/i3/inside/lights/027/POWER,ON,OFF
mqtt,light028,cmnd/i3/inside/lights/028/POWER,stat/i3/inside/lights/028/POWER,ON,OFF
mqtt,light029,cmnd/i3/inside/lights/029/POWER,stat/i3/inside/lights/029/POWER,ON,OFF
mqtt,light030,cmnd/i3/inside/lights/030/POWER,stat/i3/inside/lights/030/POWER,ON,OFF
mqtt,light031,cmnd/i3/inside/lights/031/POWER,stat/i3/inside/lights/031/POWER,ON,OFF
mqtt,light032,cmnd/i3/inside/lights/032/POWER,stat/i3/inside/lights/032/POWER,ON,OFF
mqtt,light033,cmnd/i3/inside/lights/033/POWER,stat/i3/inside/lights/033/POWER,ON,OFF
mqtt,light034,cmnd/i3/inside/lights/034/POWER,stat/i3/inside/lights/034/POWER,ON,OFF
mqtt,light035,cmnd/i3/inside/lights/035/POWER,stat/i3/inside/lights/035/POWER,ON,OFF
mqtt,light036,cmnd/i3/inside/lights/036/POWER,stat/i3/inside/lights/036/POWER,ON,OFF
mqtt,light037,cmnd/i3/inside/lights/037/POWER,stat/i3/inside/lights/037/POWER,ON,OFF
mqtt,LightOfficeBathroom,cmnd/i3/inside/office-bathroom/light/POWER,stat/i3/inside/office-bathroom/light/POWER,ON,OFF
mqtt,LightMediaLab,cmnd/i3/inside/media-lab/lights/POWER,stat/i3/inside/media-lab/lights/POWER,ON,OFF
mqtt,LightSnappleVending,cmnd/i3/inside/commons/snapple-vending-light/POWER,stat/i3/inside/commons/snapple-vending-light/POWER,ON,OFF
mqtt,LightTrafficRed,cmnd/i3/inside/commons/traffic-light/POWER1,stat/i3/inside/commons/traffic-light/POWER1,ON,OFF
mqtt,LightTrafficYellow,cmnd/i3/inside/commons/traffic-light/POWER2,stat/i3/inside/commons/traffic-light/POWER2,ON,OFF
mqtt,LightTrafficGreen,cmnd/i3/inside/commons/traffic-light/POWER3,stat/i3/inside/commons/traffic-light/POWER3,ON,OFF
mqtt,Chandelier01,cmnd/i3/inside/accent/chandelier-01/POWER,stat/i3/inside/accent/chandelier-01/POWER,ON,OFF
mqtt,Chandelier02,cmnd/i3/inside/accent/chandelier-02/POWER,stat/i3/inside/accent/chandelier-02/POWER,ON,OFF
